statistic,pvalue,effect_size,n_a,n_b,dimension,adhd_mean,control_mean,cohen_d
47.0,0.8501067391385259,0.06000000000000005,10,10,0,11.241553124040365,11.88510457649827,-0.32718089068598305
45.0,0.7337299956962472,0.09999999999999998,10,10,1,0.6142741337418556,0.6820951104164124,-0.2621518527103408
29.5,0.13042537721263486,0.41000000000000003,10,10,2,0.06292529702186585,0.167884561419487,-0.9930041049599
