feature_set,classifier,test_accuracy_mean,test_accuracy_std,test_roc_auc_mean,test_roc_auc_std,test_f1_mean,test_f1_std
tda,logistic_regression,0.5,0.27386127875258304,0.55,0.2449489742783178,0.5599999999999999,0.22449944320643647
tda,svm,0.55,0.18708286933869706,0.55,0.4,0.26666666666666666,0.3265986323710904
tda,random_forest,0.5,0.15811388300841897,0.475,0.25495097567963926,0.44666666666666666,0.24549270186029293
fc,logistic_regression,0.35,0.2,0.4,0.25495097567963926,0.4133333333333333,0.22370615647416692
fc,svm,0.65,0.2,0.8,0.2449489742783178,0.6266666666666667,0.3362538723444931
fc,random_forest,0.35,0.1224744871391589,0.45,0.10000000000000002,0.42666666666666664,0.24440403706431146
combined,logistic_regression,0.7,0.18708286933869706,0.55,0.2449489742783178,0.76,0.13063945294843618
combined,svm,0.55,0.18708286933869706,0.5,0.31622776601683794,0.26666666666666666,0.3265986323710904
combined,random_forest,0.6,0.1224744871391589,0.725,0.16583123951777,0.5533333333333333,0.2978441053825157
