feature,importance
landscape_feat_1694,0.014444444444444442
landscape_feat_1948,0.012668997668997671
landscape_feat_636,0.011317212529333742
landscape_feat_2028,0.010959595959595957
landscape_feat_1521,0.010770525770525771
landscape_feat_147,0.010692640692640691
landscape_feat_164,0.010653431865553079
landscape_feat_2515,0.009258241758241758
landscape_feat_1090,0.008311688311688312
landscape_feat_1659,0.008083103764921946
landscape_feat_1988,0.008076923076923079
landscape_feat_1897,0.007959183673469388
landscape_feat_46,0.007777777777777777
landscape_feat_1908,0.00772893772893773
landscape_feat_2047,0.007297226582940869
landscape_feat_545,0.007247023809523809
landscape_feat_1947,0.007229154287977817
landscape_feat_2518,0.007070707070707071
landscape_feat_544,0.006879120879120879
landscape_feat_2277,0.00685350529100529
landscape_feat_2624,0.0067161410018552895
landscape_feat_45,0.006694214876033058
landscape_feat_2590,0.006666666666666667
landscape_feat_2026,0.006666666666666667
landscape_feat_262,0.006666666666666666
landscape_feat_554,0.006666666666666666
landscape_feat_1611,0.006666666666666666
landscape_feat_1906,0.006581196581196582
landscape_feat_1895,0.006581196581196581
landscape_feat_51,0.006581196581196581
landscape_feat_1920,0.006493506493506493
landscape_feat_1725,0.006428571428571428
landscape_feat_1654,0.006367717579838792
landscape_feat_2232,0.006367717579838792
landscape_feat_2549,0.006367717579838792
landscape_feat_652,0.006276923076923076
landscape_feat_1905,0.006267361111111111
landscape_feat_1068,0.00619047619047619
landscape_feat_1969,0.00610870610870611
landscape_feat_2067,0.006063579277864992
landscape_feat_1576,0.006037362637362638
landscape_feat_1505,0.005883757446257445
landscape_feat_2082,0.005833333333333334
landscape_feat_1544,0.005714285714285714
landscape_feat_1893,0.005454545454545455
landscape_feat_1075,0.005454545454545455
landscape_feat_1709,0.005389610389610391
landscape_feat_63,0.005384615384615384
landscape_feat_767,0.005384615384615384
landscape_feat_749,0.005384615384615384
landscape_feat_1994,0.005384615384615384
landscape_feat_1699,0.005238095238095237
landscape_feat_537,0.005238095238095237
landscape_feat_1707,0.005238095238095237
landscape_feat_2013,0.005238095238095237
landscape_feat_1664,0.005238095238095237
landscape_feat_2651,0.0051698806244260785
landscape_feat_1943,0.005000000000000001
landscape_feat_1886,0.005000000000000001
landscape_feat_543,0.005000000000000001
landscape_feat_42,0.005000000000000001
landscape_feat_2460,0.00494949494949495
landscape_feat_1681,0.004865319865319865
landscape_feat_669,0.004865319865319865
landscape_feat_2588,0.004865319865319865
landscape_feat_2006,0.004865319865319865
landscape_feat_2628,0.004865319865319865
landscape_feat_667,0.004761904761904762
landscape_feat_1517,0.004761904761904762
landscape_feat_532,0.004726562499999999
landscape_feat_168,0.004726562499999999
landscape_feat_1597,0.004688644688644688
landscape_feat_1672,0.004688644688644688
landscape_feat_1958,0.004681872749099639
landscape_feat_1951,0.0046753246753246745
landscape_feat_771,0.004662004662004662
landscape_feat_2257,0.004642857142857143
landscape_feat_2196,0.004642857142857143
landscape_feat_2425,0.004642857142857142
landscape_feat_1518,0.004642857142857142
landscape_feat_67,0.004642857142857142
landscape_feat_1616,0.004615384615384616
landscape_feat_1873,0.004615384615384616
landscape_feat_536,0.004583333333333333
landscape_feat_2173,0.004545454545454546
landscape_feat_576,0.004545454545454546
landscape_feat_238,0.004545454545454545
landscape_feat_347,0.004545454545454545
landscape_feat_1097,0.004545454545454545
landscape_feat_1560,0.0045000000000000005
landscape_feat_1514,0.0044444444444444444
landscape_feat_68,0.004405594405594407
landscape_feat_557,0.004405594405594406
landscape_feat_1952,0.004405594405594406
landscape_feat_1899,0.004405594405594406
landscape_feat_274,0.004395604395604396
landscape_feat_177,0.004285714285714285
landscape_feat_1089,0.004285714285714285
landscape_feat_645,0.004285714285714285
landscape_feat_2678,0.004285714285714285
landscape_feat_1644,0.004285714285714285
