statistic,pvalue,effect_size,n_a,n_b,dimension,adhd_mean,control_mean,cohen_d
46.0,0.7913367801006604,0.07999999999999996,10,10,0,46.092195212841034,48.41921184360981,-0.26335983089357945
46.0,0.7913367801006604,0.07999999999999996,10,10,1,4.2542567431926726,4.611386531591416,-0.28561471863370036
37.0,0.3447042220069576,0.26,10,10,2,1.1818035185337066,1.7868821769952774,-0.723020990221567
